Custom Class,Universal Species
Abies: fir trees,"White Fir, Grand Fir, Fir, True, Red Fir"
Arbutus: arbutus trees,Madrone
Calocedrus: incense cedars,Cedar
Eucalyptus: eucalyptus trees,"Eucalyptus, Blue Gum; Eucalyptus, Silver Dollar Gum; Eucalyptus, Red-flowering Gum; Eucalyptus, Red Ironbark; Eucalyptus, Coolibah; Eucalyptus, Manna Gum; Eucalyptus; Eucalyptus, Red Gum"
Juglans: walnuts,Walnut; Black Walnut; English Walnut
Liquidambar: liquidambar trees,Liquidambar (Sweet Gum)
Lithocarpus: stonefruit oaks,Tan Oak
Pseudotsuga: douglas firs,Douglas Fir
Sequoia: true redwoods,"Redwood, Coast"
Umbellularia: umbellularia trees,"Bay, Calif."
Black Oaks,Black Oak
Gray Pines,Gray Pine
Jeffery and Ponderosa Pines,Ponderosa Pine; Jeffery Pine
Live Oaks,Coast Live Oak; Live Oak; Cork Oak; Interior Live Oak; Canyon Live Oak
Monterey Pines,Monterey Pine
Other Oaks,"Oregon White Oak; Pin Oak; English Oak; Holly Oak; Blue Oak; Oracle Oak; Red Oak, Northern; Valley Oak"
Poplars,Poplar; Lombardy Poplar
Sugar Pines,Sugar Pine
Valley Oaks,Valley Oak
Other,"Box-Elder; Unknown; Ailanthus; Peach; Bishop Pine; Pistache; Cottonwood, Black; Aleppo Pine; Hickory; Chinese Elm; Cherry; Plum; Privet; Acacia; Elm; Canary Island Pine; Dawn Redwood; Almond; Monterey Cypress; Italian Stone Pine; Apricot; Mulberry; Italian Cypress; Albizzia; Honey Locust; Juniper; Brush; Locust, Black; Mimosa; Silver Maple; Pecan; Buckeye; Birch; Olive; Blackwood Acacia; Pepper Tree; Spruce; Apple; Knobcone Pine; Sequoia, Giant; Elm, American; Pear"
